activity_id,activity_title,activity_description,activity_instructions,input_needed,activity_benefit
111,Films in je hoofd: wie wil jij wel en niet worden?,Films in je hoofd: wie wil jij wel en niet worden?,https://video.leidenuniv.nl/media/t/1_7auemsl7,0,na te denken over wie jij in de toekomst wel en niet wil worden.
21,Reacties van vrienden en familie op de nieuwe ik,"Bedenk hoe anderen gaan reageren op je nieuwe niet-rokende, actieve ik.","Deze oefening heet: â€˜Reacties van vrienden en familie op de nieuwe ik'
Mensen zijn sociale wezens. Dit betekent dat wat we doen wordt opgemerkt door anderen om ons heen, en zij hier ook op kunnen reageren. Eerder heb je je toekomstige zelf ingebeeld. Bijvoorbeeld als niet-roker of beweger.ğŸš¶
Neem een paar tellen om terug te denken aan dat beeld. ğŸ’­ Sluit je ogen als dat helpt. Als je het beeld weer helder hebt in je hoofd, stel je dan voor hoe de mensen die belangrijk voor jou zijn zouden reageren op deze versie van jou. De reacties van anderen, bijvoorbeeld vrienden, collega's en familie, op jouw beeld van de toekomst kunnen positief zijn, maar zouden ook negatief kunnen zijn. Het is goed om voorbereid te zijn op beide mogelijkheden.
  
Pak pen en papier en schrijf het antwoord op de volgende vragen opâœï¸: 
- Hoe zouden de mensen die voor jou belangrijk zijn reageren op de nieuwe jij, die is gestopt met roken en fysiek actiever is? 
- Hoe zou jij je voelen over hun reacties?
- Hoe zou jij reageren als mensen die voor jou belangrijk zijn positief reageren op de nieuwe jij?
- Hoe zou jij reageren als mensen die voor jou belangrijk zijn negatief reageren op de nieuwe jij?

Neem de tijd om je antwoorden op te schrijven.

Dit is het einde van de oefening.",0,je voor te bereiden op hoe andere mensen reageren op jouw 'nieuwe ik'. Dat geeft vertrouwen.
310,Volhouden,Volhouden op moeilijke momenten of wanneer anderen wel roken of niet bewegen.,"Deze activiteit heet 'Volhouden' ğŸ’ª
Je bent gestopt met roken en probeert meer te bewegen.ğŸš¶ Mogelijk voel jij je hierdoor minder thuis op bepaalde plekken (bijvoorbeeld op een terras waar gerookt wordt). Of gaan vrienden en familie anders met jou om. Dat kan bijvoorbeeld gebeuren wanneer anderen nog wel roken of niet zo bezig zijn met meer bewegen.

Gebeurt dit? Bedenk dan dat jij niks verkeerd doet. Jij mag zelf bepalen hoe jij omgaat met je gezondheid. Anderen mogen ook zelf kiezen. Jij dwingt niemand om te stoppen met roken of om meer te gaan bewegen.  

Dit soort momenten kunnen het wel extra lastig maken om vol te houden. Wees niet bang om hulp te vragen! Vrienden en familie kunnen jou helpen om je doelen te behalen.ğŸ¤ Begin bijvoorbeeld door aan anderen te vertellen dat jij niet meer rookt en bezig bent om meer te bewegen. Je kunt anderen ook vragen om niet te roken als jij erbij bent of om jou geen sigaretten meer aan te bieden. Je kunt via sociale media ook contact zoeken met anderen die ook zijn gestopt met roken of bezig zijn met beweging.ğŸ“±Er bestaan bijvoorbeeld Facebook groepen (zoals deze: https://www.facebook.com/ikstopnu.nl/groups/?ref=page_internal) en hulplijnen (telefoonnummer 0800-1995 - open van maandag t/m vrijdag) die mensen proberen te helpen om vol te houden. Mocht je behoefte hebben aan meer persoonlijke steun, dan kun je ook altijd je huisarts om hulp vragen. 

Dit is het einde van de oefening.",0,"vol te houden, ook als veel mensen om je heen roken of niet veel bewegen."
33,Foto's van jezelf maken,Maak op meerdere momenten foto's van jezelf en kijk of jij positieve veranderingen ziet in hoe jij eruit ziet.,"Deze oefening heet â€˜Fotoâ€™s van jezelf makenâ€™. ğŸ¤³
Als je stopt met roken en meer gaat bewegen, kun je daar positieve veranderingen van merken. Van binnen Ã©n van buiten! Je huid kan er bijvoorbeeld gezonder uitzien, je zal misschien minder wallen of donkere kringen onder je ogen hebben, je haar kan meer glans krijgen, je gebit kan verbeteren, en je kan bijvoorbeeld gewicht verliezen. 
De verandering in je uiterlijk is soms moeilijk om zelf op te merken. Daarom vraag ik je in deze oefening om een selfie te maken. Een selfie is een foto van jezelf, waar je met je hoofd en een deel van je bovenlichaam op staat.

Ga er eens voor zitten en maak een selfie van jezelf met je telefoon. Je kunt natuurlijk ook iemand anders vragen om de foto van je te maken.ğŸ“¸ Over drie weken kun je weer een foto maken. Om ervoor te zorgen dat je dit niet vergeet kun je dit in je agenda zetten of zet een herinnering in je telefoon. Als je de twee fotoâ€™s naast elkaar ziet, kun je kijken welke positieve veranderingen jij ziet!ğŸ¤©

Dit is het einde van de oefening.",0,"de positieve veranderingen te zien in hoe jij er uit ziet, doordat je niet meer rookt en meer beweegt."
35,Jij als voorbeeld,Denk na over wat je al bereikt hebt. Welk advies kun jij anderen geven om hun doelen ook te bereiken?,"Deze activiteit heet 'Jij als voorbeeld'.
Er zijn een hoop mensen die graag zouden willen stoppen met roken en meer willen bewegenğŸš¶Net zoals jij! En wie kan hen beter advies geven dan jijzelf?

Denk terug aan het moment waarop je begon aan het Perfect Fit programma. Denk aan elke stap die je hebt genomen richting je doel, groot of klein. En denk aan alles wat is gelukt, dus al je prestaties. Schrijf alle stappen en prestaties opâœï¸
Stel je nu voor, er komt iemand naar je toe die wil stoppen met roken en meer wil gaan bewegen. Wat zou je tegen deze persoon zeggen: 
- Wat heeft jou het meeste geholpen?
- Wat heeft jou het minste geholpen?
- Welke momenten waren moeilijk? En hoe ben je hiermee omgegaan?
- Hoe voelde het wanneer je een moeilijk moment had overwonnen?

Neem de tijd om je antwoorden op te schrijven. Als je wil kun je het natuurlijk ook delen met vrienden of familie.

Als iemand jou nu om advies vraagt, dan kun jij ze steunenğŸ¤. Ook is het goed om terug te denken aan je reis tot zo ver, aan wat je allemaal hebt bereikt en hoe gemotiveerd je bent geweest.

Feliciteer jezelf!ğŸ‰

Dit is het einde van de oefening.",0,te bedenken wat jou heeft geholpen om zo ver te komen en hoe jij anderen kunt helpen.
251,Veranderingen in je lichaam,"Informatie over veranderingen in je lichaam, als je stopt met roken en meer gaat bewegen.","Deze leesoefening heet 'Veranderingen in je lichaam' ğŸ§.

Als je stopt met roken en meer gaat bewegen kun je al heel snel positieve veranderingen merken. Als je stopt met roken kun al na een paar dagen merken dat je reuk ğŸ‘ƒ en smaak ğŸ½ï¸ beter worden en dat ademhalen makkelijker gaat ğŸ’¨. Handig als je aan een beweegprogramma zoals Perfect Fit meedoet toch? Maar dit is nog lang niet alles. Ontdek via deze link (https://www.medipro.nl/de-effecten-van-stoppen-met-roken/) wat er verder positief verandert als je stopt met roken â•. 

Er zitten in tabaksproducten verslavende stoffen, hierdoor merk je als je stopt soms ook vervelende veranderingen in je lichaam. Vooral de eerste dagen kun je veel trek krijgen om te roken, een kort lontje hebben, moeite hebben met slapen en je minder vrolijk voelen.

Het goede nieuws is dat beweging hierbij kan helpen ğŸš¶ğŸƒğŸ¿. Wanneer je actiever wordt,  verandert er van alles in je lichaam. Al binnen 1 minuut word je scherper, blijer en voel je minder pijn. Deze voordelen kun je rest van de dag blijven voelen. Je kunt ook merken dat je meer energie hebt en beter slaapt. Al na een paar weken kun je merken dat je sterker wordt en dat je conditie verbetert ğŸ’ªğŸ¼. Als je ook gezond eet kun je verschil gaan merken in je gewicht. En nog meer goed nieuws: als je meer beweegt heb je ook minder risico op hartproblemen, hoge bloeddruk, kanker, depressie of geheugenproblemen. Via deze link (https://www.allesoversport.nl/thema/gezonde-leefstijl/10-beweegredenen-om-te-sporten) kun je  meer te weten komen over de positieve veranderingen in je lichaam als je meer beweegt â•.

Dit is het einde van de oefening.",0,"te leren welke veranderingen je kunt merken in je lichaam, als je stopt met roken en meer gaat bewegen."
252,Advies voor bewegen,Advies over hoeveel beweging gezond is.,"Deze leesoefening heet 'Advies voor bewegen'.
Stoppen met roken wordt makkelijker wanneer je meer lichamelijk actief bent. Het komt veel voor dat mensen te weinig bewegen op een dag, bijvoorbeeld omdat zij veel achter een computer zitten. Weinig bewegen en veel zitten is niet zo goed voor je gezondheid. Zelfs als je op een dag 1 uur hebt gesport is het belangrijk om de rest van de dag niet alleen maar de zitten. Als je de rest van de dag alleen maar zit, dan kun je alsnog last krijgen van gezondheidsproblemen. Maar wanneer beweeg je genoeg?ğŸš¶ğŸƒ

In de volgende video van 3 minuten wordt uitleg gegeven over voldoende bewegen (https://www.youtube.com/watch?v=B_SbTACva3o). Het advies is om elke week minimaal 2.5 uur matig intensief OF 1 uur en 15 minuten intensief actief te zijn. Wanneer je dit verdeelt over de week, probeer dan steeds minimaal 10 minuten actief te zijn. Bijvoorbeeld op maandag 30 minuten, en dinsdag en vrijdag een uur matig intensief bewegen. Wandelen en fietsen zijn voorbeelden van matig intensieve activiteiten. De meeste sporten (hardlopen, voetbalwedstrijd etc.) zijn voorbeelden van intensieve activiteiten.

Bedenk of jij het beweegadvies opvolgt. ğŸ’­

Dit is het einde van de oefening. ",0,te leren hoe jij gezond kunt bewegen.
253,Gezond eten,Tips over gezonde voeding,"Deze leesoefening heet 'Gezond eten' ğŸ.
Het kan voorkomen dat mensen die stoppen met roken, wat in gewicht aankomen. Dit komt door twee dingen. Ten eerste verhoogt roken je stofwisseling, waardoor je lichaam meer eten kan verbranden. Wanneer je stopt met roken gebruikt je lichaam minder energie en kun je dus aankomen. Je lichaam moet er even aan wennen dat het minder eten nodig heeft dan toen je nog wel rookte. Ten tweede wordt je reuk en smaak beter, waardoor je meer zin kunt hebben in eten. Daarom volgen nu tips, om niet te veel in gewicht aan te komen na het stoppen met roken.

1. Allereerst is het belangrijk om te ontbijten. Dit zorgt voor energie na de nacht en brengt de spijsvertering op gang. Kijk voor gezonde ontbijt opties hier: https://www.voedingscentrum.nl/nl/gezonde-recepten/gezond-ontbijt-recepten.aspx . 

2. Structuur! Eet drie keer per dag. Ontbijt, middageten en avondeten. Tussen deze maaltijden door kun je nog kiezen voor gezonde tussendoortjes. Denk hierbij aan een appel, een schaaltje yoghurt, tomaatjes of een handje ongezouten nootjes. Kies wat jij lekker vindt! Ook kun je gebruik maken van eetwissels. Hiermee vervang je ongezond eten voor gezonder eten. Kijk hier voor ideeÃ«n voor eetwissels: https://www.voedingscentrum.nl/nl/thema/eetwissel/eetwissel-inspiratie.aspx . Welke eetwissel kies jij? ğŸ”€

3. Drink veel water. Water is een goede keuze en is veel gezonder dan frisdrank. Ook kan een glas water je helpen om de verleiding van een ongezond tussendoortje te weerstaan. Naast water kun je ook thee en koffie zonder suiker of melk drinken. Het advies is om niet meer dan 5 kopjes koffie per dag te drinken. 

4. Naast letten op je voeding, is elke dag voldoende bewegen belangrijk. Door te bewegen verbrand je namelijk calorieÃ«n. Ik ga jou de komende weken daarbij helpen. Zo kun je bijvoorbeeld de oefening 'Kies jouw sport of beweging' (nog een keer) doen om te kijken hoe je meer kunt bewegen!ğŸš¶

Dit is het einde van de oefening.",0,"te leren hoe je gezond kunt eten als je stopt met roken, zodat je niet teveel aankomt in gewicht."
254,Beter slapen,"Advies om beter te slapen, vooral als je stopt met roken.","Deze leesoefening heet 'Beter slapen'. ğŸ›ï¸
Als je bent gestopt met roken, dan slaap je soms minder goed. De volgende tips kunnen helpen om de kwaliteit van jouw slaap beter te maken.ğŸ˜´ 

- Drink minder koffie: In koffie zit cafeÃ¯ne en te veel cafeÃ¯ne kan slaapproblemen veroorzaken. Roken helpt om cafeÃ¯ne af te breken. Als je bent gestopt met roken, dan heeft cafeÃ¯ne dus een veel sterker effect op jou. Het helpt dus om minder koffie te drinken, vooral 's middags en 's avonds. Je zou in plaats daarvan kruidenthee kunnen drinken. Er is zelfs thee speciaal voor in de avond en voor een goede nachtrust.
- Gebruik  je telefoon, tablet, computer of tv zo min mogelijk  voor het slapen gaan: Het licht van de beeldschermen geeft je hersenen namelijk het signaal om wakker te blijven. Het duurt dan langer voordat je je moe voelt en in slaap valt. 
- Zorg voor een fijne slaapsfeer: Koel, donker, en stil. Dit kan allemaal helpen om sneller en dieper te slapen en je zult je meer uitgerust voelen. Je kunt bijvoorbeeld lichtjes van apparaten die op stand-by staan afdekken, de kamer luchten voordat je naar bed gaat, de verwarming uitzetten, oordopjes gebruiken, en uw telefoon uitzetten.
- Wees actief: beweging overdag verbetert de slaapkwaliteit.ğŸš¶
- Doe iets ontspannends vlak voor het slapen: Ga even douchen of in bad, of doe een van de ontspanningsoefeningen uit de oefening 'Ontspanning' (te vinden in de categorie 'Oefeningen met handige tips'). 

Denk eens na over hoe je je slapen kunt verbeteren en welke oefeningen jij gaat proberen voordat je vanavond naar bed gaat. Neem hier de tijd voor en schrijf het op.âœï¸ Slaap lekker alvast!

Dit is het einde van de oefening.",0,te leren hoe je zo goed mogelijk kunt slapen als je stopt met roken.
255,Het drinken van koffie en alcohol,Advies over het drinken van koffie en alcohol wanneer je stopt met roken en meer gaat bewegen.,"Deze leesoefening heet 'Het drinken van koffie en alcohol'. â˜•
Wist je dat rokers vaak meer koffie drinken dan niet-rokers? Dit komt doordat roken helpt om de cafeÃ¯ne in koffie af te breken, hierdoor heeft koffie een minder sterk effect op iemand die rookt. Als je bent gestopt met roken, dan heeft cafeÃ¯ne dus een veel sterker effect op jou.  Het kan helpen om minder koffie te drinken. Het is hierbij belangrijk je koffie gebruik langzaam af te bouwen. Het kopje koffie kun je bijvoorbeeld inwisselen voor kruidenthee, water of verse sap.ğŸµ Welke stappen wil jij zetten om jouw koffie gebruik te verminderen? Denk hierover na en schrijf jouw plan op. âœï¸ 

Een andere belangrijke factor is alcohol. Het drinken van (veel) alcohol kan het lastiger maken om te stoppen met roken en om het stoppen met roken vol te houden. Alcohol heeft ook effect op het lichaam. Het drinken van (veel) alcohol maakt het daarom lastiger om meer te gaan bewegen.ğŸš¶ Het is dus  belangrijk om zo min mogelijk alcohol te drinken. Drink jij alcohol? En zo ja, op welke momenten? Wat zou jij op deze momenten kunnen drinken in plaats van alcohol? Denk bijvoorbeeld aan een frisje of een alcoholvrij biertje. Welke stappen kun jij zetten om minder alcohol te drinken? Denk hierover na en schrijf het op!âœï¸

Dit is het einde van de oefening.",0,te leren hoe je zo goed mogelijk kunt omgaan met koffie en alcohol als je stopt met roken.
256,Omgaan met stress,"Advies voor omgaan met stress, tijdens stoppen met roken.","Deze leesoefening heet 'Omgaan met stress'. ğŸ§˜
Verlaagt roken stress? Het antwoord op deze vraag is helaas nee. Vaak wordt gedacht dat roken helpt om rustig te worden en stress verlaagt. Direct na het roken kan het inderdaad voelen alsof je stress minder geworden is, maar uiteindelijk zorgt roken juist voor meer stress.

Maar hoe werkt dit precies? In een sigaret zit nicotine. Als je verslaafd bent aan roken, dan vraagt je lichaam regelmatig om nicotine. Wanneer het lichaam te weinig nicotine krijgt, kunnen er ontwenningsverschijnselen ontstaan. Hierdoor kun je je onrustig voelen. Je voelt je weer rustiger als je hebt gerookt, doordat je lichaam weer nicotine heeft gekregen. Het voelt alsof de onrust weg is, maar eigenlijk zijn de ontwenningsverschijnselen weg. Het gevoel van onrust of stress is dus gekomen door het roken. En er is steeds een nieuwe sigaret nodig om weer rustig te worden.
Daarnaast zorgt roken ook voor klachten zoals een verhoogde hartslag, deze klachten geven ook weer een onrustig gevoel.

Wat helpt dan wel tegen stress? Bewegen!ğŸš¶ Door te sporten of te bewegen maakt het lichaam een stofje aan waardoor je je goed voelt en stress minder wordt. Ook kan beweging helpen om je hoofd even leeg te maken. Ervaar je onrust of stress? Probeer dan eens een wandeling te maken. Dit kan helpen om je rustiger te voelen. Ook kunnen ontspannende activiteiten helpen. Zo kun je bijvoorbeeld de oefening 'Ontspanning' (nog een keer) doen om te kijken waar jij ontspannen van wordt! Deze oefening is te vinden in de categorie 'Oefeningen met handige tips'. 

Tot slot, mocht je het leuk vinden om bij te houden hoe je je elke dag of week voelt, klik dan in deze app op de knop '+', onderin je telefoonscherm, in het midden.ğŸ“± Klik daarna op de knop 'Gevoel' en kies rechts het gezichtje dat het beste past bij hoe je je voelt. Daarna kun je eventueel nog een 'Notitie maken' of klik direct op 'Opslaan'. Als je dit een paar weken doet, zal je waarschijnlijk merken dat je je beter voelt als je langer gestopt bent met roken en genoeg beweegt.

Dit is het einde van de oefening. ",0,"te leren hoe het komt dat roken niet helpt bij stress, en hoe je dan wel met stress om kunt gaan."
37,Je lichaam wordt gezonder,"Informatie over vervelende klachten die je in je lichaam kunt voelen, maar die eigenlijk betekenen dat je gezonder wordt.","Deze oefening heet 'Je lichaam wordt gezonder'.

Je wordt gezonder als je stopt met roken en meer gaat bewegen.ğŸš¶ğŸƒ Toch kan het zo zijn dat je klachten in je lichaam voelt. Als je stopt met roken, kan je bijvoorbeeld tijdelijk gaan hoesten of niezen. Dit voelt vervelend. Maar het is juist iets positiefs! Je longen zijn aan het herstellen. En ruimen de stoffen van de sigaret op. Het hoesten en niezen gaat meestal vanzelf over. Maak je je zorgen of hoest je langer dan 6 weken? Ga dan naar de huisarts. 

Stoppen met roken kan er ook voor zorgen dat je even moeilijker poept. Drink veel water. Eet volkorenbrood en fruit.ğŸ En beweeg veel. Dat helpt! Het zal weer beter worden. 

Als je meer beweegt, kan je last krijgen van spierpijn. Dit voelt niet fijn. Maar ook dit is juist een goed teken! Het betekent dat je spieren herstellen en aan het groeien zijn. Doordat je spieren groeien, zal het bewegen steeds makkelijker gaan.ğŸƒ Ook zal de spierpijn steeds minder worden. Het blijft natuurlijk belangrijk om het bewegen rustig op te bouwen. 

De klachten die je mogelijk ervaart zijn dus juist positief. Het laat zien dat je lichaam gezonder wordt. Het is goed om hieraan te denken als je je even onprettig voelt. Het laat zien dat je goed bezig bent!ğŸ’ª

Op ikstopnu.nl staat een uitgebreider overzicht van klachten die je kunt voelen als je stopt met roken. Ook staat er een mooie video op met meer uitleg. Klik op de link om de pagina te openen: https://www.ikstopnu.nl/bibliotheek/ontwenningsverschijnselen/#zo-ga-je-om-met-ontwenningsverschijnselen.

Dit is het einde van de oefening.",0,vervelende gevoelens in je lichaam te zien als teken dat je goed bezig bent.
